Month,Mkt_RF,SMB,HML,RMW,CMA,RF
197207,-0.80,-2.74,0.77,1.04,-0.59,0.31
197208,3.26,-3.53,4.68,-2.18,2.96,0.29
197209,-1.14,-2.27,0.49,1.64,-1.96,0.34
197210,0.52,-2.51,1.32,-0.06,-0.04,0.40
197211,4.60,-0.55,4.78,-2.00,3.34,0.37
197212,0.62,-1.82,-2.29,2.45,-2.20,0.37
197301,-3.29,-2.81,2.68,0.46,0.95,0.44
197302,-4.85,-4.03,1.68,-0.52,0.02,0.41
197303,-1.29,-2.36,2.84,-1.03,0.73,0.46
197304,-5.68,-3.01,5.66,-1.74,2.73,0.52
197305,-2.94,-5.99,0.19,1.91,-1.77,0.51
197306,-1.56,-2.55,1.43,-0.33,0.23,0.51
197307,5.04,7.25,-5.18,0.01,-3.44,0.64
197308,-3.84,-1.77,1.18,-1.45,1.24,0.70
197309,4.75,3.54,2.11,-2.22,1.87,0.68
197310,-0.86,-0.21,1.74,-1.94,2.66,0.65
197311,-12.74,-7.30,4.00,-2.82,1.51,0.56
197312,0.58,-4.63,4.25,-3.02,2.38,0.64
197401,-0.17,10.51,5.86,-2.98,4.39,0.63
197402,-0.48,0.16,2.55,-1.97,2.68,0.58
197403,-2.81,2.61,-0.09,2.95,0.38,0.56
197404,-5.29,-0.63,1.01,2.81,1.79,0.75
197405,-4.67,-3.21,-2.07,5.06,-0.10,0.75
197406,-2.83,0.02,0.79,0.67,3.15,0.60
197407,-8.05,1.98,5.21,-3.24,4.56,0.70
197408,-9.35,0.31,2.57,-0.12,2.55,0.60
197409,-11.77,1.46,5.52,-4.40,5.91,0.81
197410,16.10,-6.85,-9.72,0.02,-2.94,0.51
197411,-4.51,-1.45,-0.08,-3.39,2.96,0.54
197412,-3.44,-4.35,0.06,-0.59,3.23,0.70
197501,13.66,12.80,8.21,-0.95,-0.87,0.58
197502,5.56,-0.66,-4.53,1.06,-2.15,0.43
197503,2.66,4.01,2.42,1.35,-1.25,0.41
197504,4.23,-0.56,-1.16,1.48,-1.35,0.44
197505,5.19,2.89,-4.07,-0.99,-0.62,0.44
197506,4.82,1.32,1.29,-2.90,1.08,0.41
197507,-6.59,3.42,1.65,0.46,1.21,0.48
197508,-2.85,-2.80,-0.90,1.06,-0.89,0.48
197509,-4.26,0.02,0.33,0.68,0.49,0.53
197510,5.31,-4.21,0.29,-0.41,2.27,0.56
197511,2.65,-1.07,1.99,-0.56,1.71,0.41
197512,-1.60,-0.03,1.78,-0.12,0.62,0.48
197601,12.16,6.34,8.60,-1.89,2.37,0.47
197602,0.32,7.97,5.85,-2.71,3.83,0.34
197603,2.33,-1.32,-0.02,-0.51,1.09,0.40
197604,-1.49,0.12,-0.02,0.43,-1.11,0.42
197605,-1.35,-1.13,-1.31,2.53,-1.41,0.37
197606,4.05,-1.14,0.73,-0.53,0.93,0.43
197607,-1.07,0.61,1.73,-1.11,0.28,0.47
197608,-0.56,-2.03,0.77,-0.44,-0.58,0.42
197609,2.06,0.13,-0.28,0.99,-1.12,0.44
197610,-2.42,0.14,-0.13,-0.23,-0.33,0.41
197611,0.36,2.71,1.52,-1.22,0.08,0.40
197612,5.65,3.62,2.23,-0.44,2.23,0.40
197701,-4.05,5.92,4.26,-0.45,1.89,0.36
197702,-1.95,1.12,0.48,-0.16,-0.21,0.35
197703,-1.37,1.31,1.04,-0.38,-0.12,0.38
197704,0.15,0.60,3.45,-2.00,1.15,0.38
197705,-1.46,1.30,0.83,0.37,0.09,0.37
197706,4.71,2.08,-0.64,0.95,-1.23,0.40
197707,-1.69,1.81,-0.61,0.59,0.04,0.42
197708,-1.75,0.88,-2.79,0.95,-0.59,0.44
197709,-0.27,1.54,-0.51,1.13,-0.82,0.43
197710,-4.38,1.51,1.71,-0.09,-0.27,0.49
197711,4.00,3.62,0.35,-0.09,0.66,0.50
197712,0.27,1.62,-0.34,1.06,-0.67,0.49
197801,-6.01,2.69,3.29,-1.66,1.52,0.49
197802,-1.38,3.66,0.80,0.26,1.04,0.46
197803,2.85,3.72,1.25,-0.45,1.88,0.53
197804,7.88,-0.32,-3.47,2.47,-1.35,0.54
197805,1.76,4.61,-0.60,0.36,0.34,0.51
197806,-1.69,1.60,0.58,-1.38,0.00,0.54
197807,5.11,0.16,-1.11,1.50,-0.79,0.56
197808,3.75,4.97,-0.48,1.45,0.39,0.56
197809,-1.43,-0.31,1.88,-0.72,1.81,0.62
197810,-11.91,-10.08,1.36,0.16,1.06,0.68
197811,2.71,2.86,-2.21,1.22,-1.23,0.70
197812,0.88,1.09,-2.19,2.00,-1.41,0.78
197901,4.23,3.87,2.25,-2.49,1.57,0.77
197902,-3.56,0.55,1.18,-1.14,1.02,0.73
197903,5.68,3.17,-0.65,0.66,0.25,0.81
197904,-0.06,2.40,1.07,1.19,0.23,0.80
197905,-2.21,0.41,1.83,-0.92,-0.76,0.82
197906,3.85,0.97,1.44,-1.73,-0.46,0.81
197907,0.82,1.24,1.72,-0.19,0.59,0.77
197908,5.53,1.94,-1.52,1.50,-1.45,0.77
197909,-0.82,-0.29,-0.92,0.85,0.55,0.83
197910,-8.10,-3.46,-1.86,1.02,0.26,0.87
197911,5.21,2.43,-3.28,0.17,-1.97,0.99
197912,1.79,4.33,-2.01,-0.62,-1.01,0.95
198001,5.51,1.90,1.82,-1.84,2.00,0.80
198002,-1.22,-1.61,0.61,-1.02,3.06,0.89
198003,-12.90,-6.94,-1.06,1.74,-1.34,1.21
198004,3.97,0.99,1.06,-2.00,0.59,1.26
198005,5.26,2.12,0.40,0.39,-0.50,0.81
198006,3.06,1.48,-0.90,-0.10,-0.92,0.61
198007,6.49,3.94,-6.35,3.95,-2.50,0.53
198008,1.80,4.25,-2.65,2.09,-0.78,0.64
198009,2.19,0.58,-4.74,1.86,-2.83,0.75
198010,1.06,2.36,-2.77,1.40,-1.21,0.95
198011,9.59,-3.42,-8.45,4.27,-5.74,0.96
198012,-4.52,-0.32,2.69,-1.17,1.20,1.31
198101,-5.04,3.36,6.82,-3.43,4.34,1.04
198102,0.56,-0.47,1.02,0.11,2.28,1.07
198103,3.56,3.07,0.70,-2.15,-0.52,1.21
198104,-2.10,4.61,2.29,0.92,1.21,1.08
198105,0.11,2.46,-0.41,0.29,-1.61,1.15
198106,-2.36,-0.97,5.09,-1.39,2.70,1.35
198107,-1.54,-1.98,-0.60,1.07,-3.02,1.24
198108,-7.03,-1.82,4.83,-0.23,1.46,1.28
198109,-7.17,-2.52,5.17,-0.07,2.78,1.24
198110,4.92,2.26,-4.19,3.35,-2.80,1.21
198111,3.36,-1.37,1.90,0.15,0.58,1.07
198112,-3.65,1.20,0.75,0.30,2.39,0.87
198201,-3.24,-1.19,3.12,-1.60,2.11,0.80
198202,-5.86,0.32,6.04,-3.46,4.57,0.92
198203,-1.87,0.00,3.82,-1.49,2.37,0.98
198204,3.27,1.16,-2.80,1.62,-0.19,1.13
198205,-3.99,0.55,1.83,0.75,-0.08,1.06
198206,-3.09,-0.53,1.54,-0.12,2.66,0.96
198207,-3.19,0.96,0.20,1.04,1.58,1.05
198208,11.14,-4.30,1.16,-1.89,0.19,0.76
198209,1.29,2.59,0.34,2.16,-0.04,0.51
198210,11.30,1.92,-3.69,0.53,-0.37,0.59
198211,4.67,4.52,-1.92,-0.70,0.33,0.63
198212,0.55,0.01,0.02,-0.17,1.08,0.67
198301,3.60,3.28,-0.86,-1.48,-0.44,0.69
198302,2.59,2.91,0.68,-0.69,1.03,0.62
198303,2.82,1.42,2.07,0.01,2.78,0.63
198304,6.67,0.47,0.58,-0.23,1.64,0.71
198305,0.52,6.21,-1.40,-1.92,-1.54,0.69
198306,3.07,1.16,-3.89,2.27,-0.87,0.67
198307,-4.07,0.99,5.58,-0.11,2.84,0.74
198308,-0.50,-4.32,5.54,0.54,1.95,0.76
198309,0.92,0.25,1.06,1.18,0.59,0.76
198310,-3.44,-3.81,5.00,-0.72,2.97,0.76
198311,2.16,1.89,-0.65,-0.59,0.67,0.70
198312,-1.78,-0.45,1.68,1.46,1.25,0.73
198401,-1.92,-0.07,7.60,-1.00,2.97,0.76
198402,-4.82,-1.60,3.31,0.85,1.56,0.71
198403,0.63,-0.27,0.49,-0.88,1.09,0.73
198404,-0.52,-1.01,1.24,3.32,0.75,0.81
198405,-5.97,0.12,0.23,2.30,-0.50,0.78
198406,1.82,0.12,-2.63,3.06,-1.51,0.75
198407,-2.74,-2.25,0.39,3.73,-2.14,0.82
198408,10.28,-0.26,-1.83,-0.80,-0.92,0.83
198409,-0.80,-0.01,5.31,1.42,2.51,0.86
198410,-0.84,-1.43,0.48,1.26,-1.24,1.00
198411,-1.76,-0.99,4.04,0.90,2.06,0.73
198412,1.84,-0.68,-0.14,1.25,-1.30,0.64
198501,7.99,3.50,-5.39,-0.86,-3.33,0.65
198502,1.22,1.01,-0.17,1.41,0.97,0.58
198503,-0.84,-1.46,4.03,1.28,2.92,0.62
198504,-0.96,-0.08,3.71,1.53,0.74,0.72
198505,5.09,-2.35,-0.88,1.36,-1.48,0.66
198506,1.27,0.33,0.46,1.67,-0.61,0.55
198507,-0.74,2.91,-1.67,-0.52,-0.29,0.62
198508,-1.02,-0.31,2.29,0.07,1.88,0.55
198509,-4.54,-1.81,1.29,1.22,1.63,0.60
198510,4.02,-1.54,0.77,0.77,-1.13,0.65
198511,6.48,-0.01,-2.93,0.36,-2.33,0.61
198512,3.88,-0.39,-1.56,0.85,-1.80,0.65
198601,0.65,1.00,0.53,-1.94,-2.05,0.56
198602,7.13,-0.75,-0.88,1.14,-1.42,0.53
198603,4.88,-0.55,-0.51,1.32,0.98,0.60
198604,-1.31,2.91,-2.90,2.97,0.03,0.52
198605,4.62,-1.25,-0.12,2.12,1.10,0.49
198606,1.03,-0.90,1.39,1.70,0.89,0.52
198607,-6.45,-3.56,4.76,-0.77,0.65,0.52
198608,6.07,-4.35,3.52,-1.62,3.27,0.46
198609,-8.60,1.97,3.20,-0.10,3.59,0.45
198610,4.66,-2.39,-1.44,0.15,0.94,0.46
198611,1.17,-1.93,-0.09,1.11,0.60,0.39
198612,-3.27,0.08,0.31,0.98,-0.04,0.49
198701,12.47,-1.49,-3.21,0.25,-1.10,0.42
198702,4.39,3.38,-5.96,-0.80,-2.70,0.43
198703,1.64,0.24,1.59,1.33,3.96,0.47
198704,-2.11,-1.56,-0.32,-0.46,1.24,0.44
198705,0.11,-0.60,0.16,0.63,1.36,0.38
198706,3.94,-2.27,1.06,1.82,0.85,0.48
198707,3.85,-1.09,0.71,-0.39,1.58,0.46
198708,3.52,-0.91,-0.91,1.97,-1.60,0.47
198709,-2.59,0.39,0.28,-0.94,1.89,0.45
198710,-23.24,-8.10,4.20,1.67,2.34,0.60
198711,-7.77,2.72,3.23,-1.95,0.84,0.35
198712,6.81,0.10,-4.43,3.06,-2.33,0.39
198801,4.21,-0.54,5.16,-1.11,2.12,0.29
198802,4.75,3.34,-1.64,1.89,-0.12,0.46
198803,-2.27,6.24,0.74,-0.27,1.97,0.44
198804,0.56,1.12,1.70,-0.20,1.90,0.46
198805,-0.29,-2.60,2.28,-0.75,0.38,0.51
198806,4.79,2.17,-1.12,1.47,-3.24,0.49
198807,-1.25,-0.16,2.26,-0.65,1.48,0.51
198808,-3.31,0.02,2.08,-0.83,1.76,0.59
198809,3.30,-1.31,-0.67,1.75,-0.47,0.62
198810,1.15,-2.95,1.67,1.42,1.06,0.61
198811,-2.29,-1.66,1.27,-0.34,1.57,0.57
198812,1.49,1.99,-1.54,0.58,-0.39,0.63
198901,6.10,-2.22,0.53,-0.86,0.16,0.55
198902,-2.25,2.66,0.86,-0.74,1.85,0.61
198903,1.57,0.75,0.48,-0.05,0.73,0.67
198904,4.33,-0.69,-1.45,0.80,-0.50,0.67
198905,3.35,-0.01,-0.84,0.46,-0.04,0.79
198906,-1.35,-1.08,2.17,0.07,1.53,0.71
198907,7.20,-4.06,-2.81,1.89,-0.60,0.70
198908,1.44,0.48,0.65,0.58,-0.56,0.74
198909,-0.76,0.48,-1.34,1.25,0.57,0.65
198910,-3.67,-3.29,-1.09,0.13,-0.01,0.68
198911,1.03,-1.29,-1.08,-0.91,1.36,0.69
198912,1.16,-2.28,0.24,-0.10,1.42,0.61
199001,-7.85,-1.39,0.89,-1.42,1.35,0.57
199002,1.11,1.19,0.63,-0.16,-0.62,0.57
199003,1.83,1.58,-2.86,2.06,-0.94,0.64
199004,-3.36,-0.40,-2.58,1.63,-1.02,0.69
199005,8.42,-2.39,-3.74,1.76,-1.47,0.68
199006,-1.09,1.38,-2.01,-1.15,-0.39,0.63
199007,-1.90,-3.28,-0.01,-0.44,3.09,0.68
199008,-10.14,-3.88,1.60,-0.43,3.00,0.66
199009,-6.12,-3.77,0.74,0.00,3.71,0.60
199010,-1.92,-5.12,0.25,2.94,-0.45,0.68
199011,6.35,-0.05,-3.07,0.82,-4.72,0.57
199012,2.46,0.66,-1.55,2.89,-2.03,0.60
199101,4.69,3.89,-1.84,1.48,-4.08,0.52
199102,7.19,3.91,-0.60,-0.28,-0.21,0.48
199103,2.65,3.83,-1.20,-0.36,-1.01,0.44
199104,-0.28,0.36,1.40,0.62,0.70,0.53
199105,3.64,0.17,-0.55,2.18,-2.45,0.47
199106,-4.94,0.15,1.19,1.58,0.62,0.42
199107,4.24,-0.96,-1.29,1.48,-1.41,0.49
199108,2.32,1.45,-0.80,0.94,-0.36,0.46
199109,-1.59,1.55,-1.00,-1.79,0.11,0.46
199110,1.28,0.89,-0.48,-1.87,-0.29,0.42
199111,-4.19,-0.87,-1.92,0.90,-0.04,0.39
199112,10.83,-2.41,-4.04,3.83,-3.09,0.38
199201,-0.59,9.26,4.53,-1.30,3.26,0.34
199202,1.09,1.37,6.38,0.27,2.09,0.28
199203,-2.65,-0.91,3.67,-0.14,2.01,0.34
199204,1.08,-5.72,4.32,1.69,2.22,0.32
199205,0.30,0.20,1.25,-1.01,0.41,0.28
199206,-2.34,-2.73,3.39,-0.05,1.05,0.32
199207,3.77,-0.63,-0.53,1.21,-0.81,0.31
199208,-2.38,-0.43,-1.05,3.75,-1.56,0.26
199209,1.19,0.50,-0.24,1.71,-0.67,0.26
199210,1.02,2.05,-2.09,1.33,-0.89,0.23
199211,4.13,3.91,-1.47,-0.76,-1.74,0.23
199212,1.53,1.63,2.52,-0.59,0.81,0.28
199301,0.93,2.09,5.89,-1.69,2.89,0.23
199302,0.13,-3.44,6.45,-0.42,4.11,0.22
199303,2.30,0.06,1.27,-0.33,0.90,0.25
199304,-3.05,-0.83,2.64,-3.54,1.45,0.24
199305,2.88,1.86,-3.42,-0.07,-1.01,0.22
199306,0.31,0.11,2.62,-0.91,1.22,0.25
199307,-0.34,0.92,3.26,-2.11,2.05,0.24
199308,3.72,0.26,-0.44,-1.07,-0.06,0.25
199309,-0.12,3.05,-0.48,0.66,-0.11,0.26
199310,1.41,1.59,-1.56,-0.07,0.58,0.22
199311,-1.89,-1.42,-0.26,1.75,-0.96,0.25
199312,1.65,1.37,0.58,0.82,-0.32,0.23
199401,2.87,-0.16,2.09,-2.27,1.47,0.25
199402,-2.56,2.64,-1.41,2.55,-1.05,0.21
199403,-4.78,-1.00,1.33,0.71,1.27,0.27
199404,0.68,-1.05,1.68,0.90,1.14,0.27
199405,0.58,-2.46,0.17,0.91,0.71,0.31
199406,-3.03,-0.53,1.68,1.03,1.51,0.31
199407,2.82,-1.84,0.97,-1.03,0.10,0.28
199408,4.01,1.34,-3.45,1.25,-1.48,0.37
199409,-2.31,2.58,-1.81,0.90,0.99,0.37
199410,1.34,-2.26,-2.36,0.74,-0.64,0.38
199411,-4.04,-0.06,-0.05,0.63,-0.45,0.37
199412,0.86,-0.01,0.27,0.88,0.34,0.44
199501,1.80,-2.90,1.64,0.51,-0.82,0.42
199502,3.63,-0.44,0.38,0.84,-0.32,0.40
199503,2.18,-0.58,-2.05,0.20,0.15,0.46
199504,2.11,-0.27,1.70,0.06,1.02,0.44
199505,2.90,-2.11,1.92,0.26,0.11,0.54
199506,2.72,3.02,-2.99,-0.15,-2.43,0.47
199507,3.72,2.19,-2.24,1.07,-1.70,0.45
199508,0.55,1.97,1.93,-0.97,1.59,0.47
199509,3.35,-1.90,-0.95,1.18,0.31,0.43
199510,-1.52,-4.21,-0.09,1.71,-0.01,0.47
199511,3.95,-0.97,0.34,-0.39,1.17,0.42
199512,1.03,0.55,1.41,-1.78,2.94,0.49
199601,2.26,-2.46,0.40,-0.56,2.26,0.43
199602,1.33,1.94,-2.33,1.02,-1.78,0.39
199603,0.73,1.48,1.27,1.40,-0.95,0.39
199604,2.06,4.72,-4.02,0.71,-2.13,0.46
199605,2.36,3.21,-1.40,0.16,-0.21,0.42
199606,-1.14,-3.67,1.92,2.30,1.11,0.40
199607,-5.97,-3.61,4.37,2.85,2.66,0.45
199608,2.76,2.51,-0.60,-0.38,-2.47,0.41
199609,5.02,-1.27,-3.77,1.94,-2.24,0.44
199610,0.86,-3.80,4.80,1.46,2.96,0.42
199611,6.25,-3.62,0.16,2.75,-0.70,0.41
199612,-1.70,3.11,1.01,0.27,1.48,0.46
199701,4.99,-1.56,-2.33,2.34,-0.22,0.45
199702,-0.49,-2.44,4.68,0.60,3.44,0.39
199703,-5.03,-0.50,3.86,0.44,1.68,0.43
199704,4.04,-5.53,-1.03,3.86,-0.92,0.43
199705,6.74,4.68,-4.37,-0.47,-2.92,0.49
199706,4.10,1.33,0.75,1.14,0.52,0.37
199707,7.33,-2.70,-0.13,0.06,-2.44,0.43
199708,-4.15,7.62,1.36,-1.39,-0.09,0.41
199709,5.35,2.63,-0.23,-1.01,-0.89,0.44
199710,-3.80,-0.56,2.18,0.90,1.92,0.42
199711,2.98,-5.22,0.98,2.57,1.63,0.39
199712,1.32,-2.08,3.80,1.24,1.87,0.48
199801,0.15,-1.31,-2.03,0.63,-0.81,0.43
199802,7.03,0.18,-0.88,-0.09,-2.44,0.39
199803,4.76,-0.71,1.25,-1.51,-0.41,0.39
199804,0.73,0.19,0.32,-1.34,-0.25,0.43
199805,-3.07,-3.11,4.11,0.57,2.46,0.40
199806,3.18,-3.66,-2.20,-0.40,-2.95,0.41
199807,-2.46,-5.26,-1.16,1.76,0.49,0.40
199808,-16.08,-5.49,5.22,1.19,5.82,0.43
199809,6.15,-0.95,-3.88,-2.50,-2.91,0.46
199810,7.13,-3.35,-2.75,2.11,0.27,0.32
199811,6.10,0.77,-3.44,-0.64,-1.17,0.31
199812,6.16,-1.54,-4.70,-1.44,-3.29,0.38
199901,3.50,-0.58,-5.56,-2.58,-6.76,0.35
